,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'The Guardian'}",David Williams,The secret strength of old grape vines | David Williams,"In the looming clmate crisis, will old grape vines cope better with the drought and extreme heat than younger plants?Taste the Difference Old Vine Garnacha, Calatayud, Spain 2019 (£10, Sainsbury’s) Winemakers love old vines for many reasons. They love them fo…",https://amp.theguardian.com/food/2022/aug/21/the-secret-strength-of-old-grape-vines-to-cope-with-climate-crisis,https://i.guim.co.uk/img/media/15b0fac45ea05c2d5b5cf0eac074d043c02d3e09/0_243_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=1afe310eb470564a03b192628c611ec1,2022-08-21T05:00:02Z,"Taste the Difference Old Vine Garnacha, Calatayud, Spain 2019 (£10, Sainsburys) Winemakers love old vines for many reasons. They love them for the history and continuity they represent. They love the… [+3352 chars]"
11,"{'id': None, 'name': 'The Guardian'}",Fiona Beckett,Pinots that won’t break the bank | Fiona Beckett on drinks,"With the mellow season around the corner, thoughts turn from rosés to reds such as pinot noirSince the temperature ranged from 9C to 29C on my recent break in the UK, I’m not going to be foolish enough to predict what the weather is going to be like at the be…",https://amp.theguardian.com/food/2022/sep/02/pinots-that-wont-break-the-bank-fiona-beckett,https://i.guim.co.uk/img/media/23f83b46b21b940cbac6fc6fa4427e0d509d9a4e/0_154_5760_3456/master/5760.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=83201e5f6cdbd6912689a1c9919f4c8c,2022-09-02T13:00:03Z,"Since the temperature ranged from 9C to 29C on my recent break in the UK, Im not going to be foolish enough to predict what the weather is going to be like at the beginning of September, but in theor… [+3051 chars]"
12,"{'id': None, 'name': 'The Guardian'}",David Williams,Griller thrillers: the best wines for a summer barbecue,"From juicy, smoky reds to oaky whites, here are the best bottles to crack open when you fire up the BBQKanonkop Kadette Pinotage, Stellenbosch, South Africa 2019 (from £12.99, Waitrose; majestic.co.uk) To judge from the smells wafting around my street over th…",https://amp.theguardian.com/food/2022/aug/14/griller-thrillers-the-best-wines-for-a-summer-barbecue,https://i.guim.co.uk/img/media/fd53a683fd925da79999d79546dca2c565608f16/1208_861_3756_2254/master/3756.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=02ef8cf95498f534c983f9261a87ac6e,2022-08-14T05:00:02Z,"Kanonkop Kadette Pinotage, Stellenbosch, South Africa 2019 (from £12.99, Waitrose; majestic.co.uk)To judge from the smells wafting around my street over the past few hot weeks, a lot of people have b… [+2951 chars]"
13,"{'id': None, 'name': 'The Guardian'}",Tom Hunt,How to turn overripe tomatoes into a refreshing Spanish soup – recipe | Waste not,"Over-ripe tomatoes are to be treasured, not tossed in the bin. In fact, the riper, the better for this super-refreshing cold soupSalmorejo is a soup that’s similar to gazpacho, but easier to make and just as delicious. Tomatoes become more tasty the riper the…",https://amp.theguardian.com/food/2022/sep/03/how-to-turn-overripe-tomatoes-into-salmorejo-refreshing-spanish-soup-recipe-zero-waste-cooking,https://i.guim.co.uk/img/media/a4e06b255b876d0e90f8c5b39d0eaf654fe9845d/0_68_2048_1229/master/2048.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=b59170a420da4f46aeeb0c3d4ff82643,2022-09-03T05:00:10Z,"Salmorejo is a soup thats similar to gazpacho, but easier to make and just as delicious. Tomatoes become more tasty the riper they get, so treasure, dont trash, any squishy ones you might have in the… [+2234 chars]"
14,"{'id': None, 'name': 'The Guardian'}",Kate Hawkings,There’s more to spritz than Aperol,"Putting on the spritz for a last-of-the-summer barbecue? Experiment with an alternative amaro baseThe Aperol spritz is one of the most successful marketing phenomena of modern times. Given a huge publicity push only six years ago, it’s now one of the world’s …",https://amp.theguardian.com/food/2022/sep/09/theres-more-to-spritz-than-aperol,https://i.guim.co.uk/img/media/3fe73d23ca29961234178f3163d3d6befc4d1639/0_343_5760_3456/master/5760.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=da9a82e8ffc4381a5891a3c2d99627dd,2022-09-09T13:00:35Z,"The Aperol spritz is one of the most successful marketing phenomena of modern times. Given a huge publicity push only six years ago, its now one of the worlds most popular cocktails, instantly recogn… [+3173 chars]"
15,"{'id': None, 'name': 'The Guardian'}",James Mossman,Savoury cooking with late summer fruit – recipes by 10 Greek Street,"Make the most of summer produce while you still can: greengages take mackerel to another level, while peaches are the soft sell for pork chops with runner beansIt’s late summer, and with that comes arguably some of the finest produce: intensely sweet fruit su…",https://amp.theguardian.com/food/2022/sep/10/savoury-cooking-late-summer-fruit-recipes-mackerel-greengages-pork-chops-grilled-peach-10-greek-street,https://i.guim.co.uk/img/media/d4ddca01fa1423f3ddcd2854b697cfb159daf284/0_1793_3840_2304/master/3840.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=261118b525f628759c165a6b6105489a,2022-09-10T13:00:03Z,"Its late summer, and with that comes arguably some of the finest produce: intensely sweet fruit such as peaches and greengages, which can be incorporated into our savoury cooking. Paired with bold, r… [+4099 chars]"
16,"{'id': None, 'name': 'The Guardian'}",Adrian Horton,Love in the Villa review – immediately forgettable Netflix rom-com,"The Vampire Diaries’s Kat Graham and Umbrella Academy’s Tom Hopper star in a passable, if not particularly sizzling, rom-com set in VeronaThe Netflix confection Love in the Villa invokes two well-established traditions. There’s the general rom-com formula – t…",https://amp.theguardian.com/film/2022/sep/01/love-in-the-villa-review-immediately-forgettable-netflix-rom-com,https://i.guim.co.uk/img/media/da2639e015fcf5621b0ce7807dee19eacfc9cb9d/0_400_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctcmV2aWV3LTIucG5n&enable=upscale&s=0b4589ed4f8f89959e5f1115c0beb740,2022-09-01T07:01:47Z,"The Netflix confection Love in the Villa invokes two well-established traditions. Theres the general rom-com formula two characters at odds, a meet-cute, a deception/reveal, an epiphany, a repeated i… [+4935 chars]"
17,"{'id': None, 'name': 'The Guardian'}",Emma Gannon,I knew I didn’t have a drinking problem – but I had a problem with drinking | Emma Gannon,"Many of us don’t question daily alcohol use until we hit rock bottom. But I didn’t want this damaging habit, so I got ‘sober curious’Like many millennials who grew up in a smallish town, my relationship with alcohol came barrelling into my life hard and fast.…",https://amp.theguardian.com/commentisfree/2022/aug/22/sober-curious-problem-with-drinking-alcohol-daily,https://i.guim.co.uk/img/media/ed4626690f4ae5238b62a75e9dddf9555c02afad/0_607_3466_2079/master/3466.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=14b56b617276048bf3ddfd056950d55c,2022-08-22T09:00:33Z,"Like many millennials who grew up in a smallish town, my relationship with alcohol came barrelling into my life hard and fast. Teens getting their stomach pumped on the weekend was a pretty normal oc… [+5346 chars]"
18,"{'id': None, 'name': 'The Guardian'}",Rebecca Seal,When food shortages bite: what to eat and drink in the age of empty shelves,"Weather, war and energy prices have put supplies under severe pressure. From British rhubarb to DIY dairy, here are some simple alternatives that could fill the gapsI have known about the frailty of the UK’s supply chains for a long time – I first wrote about…",https://amp.theguardian.com/lifeandstyle/2022/aug/13/when-food-shortages-bite-what-to-eat-and-drink-in-the-age-of-empty-shelves,https://i.guim.co.uk/img/media/e3b1fad51e57c569927fd679ec469f2051c202d2/0_2852_7330_4398/master/7330.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=aa4c066e2367d7d7453a35a914080d2d,2022-08-13T10:00:38Z,"I have known about the frailty of the UKs supply chains for a long time I first wrote about the problem over a decade ago, and I too survived the great loo roll shortage of 2020. But this spring, I c… [+14290 chars]"
19,"{'id': None, 'name': 'The Guardian'}",International Cupid: Sarah Hooper,Blind date goes to Paris: ‘We went to a bar – then to her place. I won’t elaborate!’,"In a global dating special, Amir, 23, model and actor, meets Noa, 26, creative directorWhat were you hoping for?To meet someone I would click with, eat good food and have a fun night. I was open to anything, whether it was romantic or not, as long as we enjoy…",https://amp.theguardian.com/lifeandstyle/2022/sep/10/blind-date-goes-to-paris-we-went-to-a-bar-then-to-her-place-i-wont-elaborate,https://i.guim.co.uk/img/media/06c717aebcda7c3ceffc20e232f1771af1f32e1a/0_0_5000_3000/master/5000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=cfd59b4ed1ca738f18e41bfd9a6a1690,2022-09-10T12:00:02Z,"Amir on Noa
What were you hoping for?To meet someone I would click with, eat good food and have a fun night. I was open to anything, whether it was romantic or not, as long as we enjoyed each others… [+6624 chars]"
20,"{'id': None, 'name': 'The Guardian'}",Tom Hunt,How to turn wilted herbs and old bread into a Catalan seasoning – recipe | Waste not,"Cooks in Catalonia have long had this ingenious way of using up stale bread and tired herbs – a nutty picada for thickening soups or as a finishing flourish for stewsPicada is a traditional Catalan seasoning made by pounding together stale bread, garlic, pars…",https://amp.theguardian.com/food/2022/sep/10/how-to-turn-wilted-herbs-and-old-bread-into-a-catalan-seasoning-recipe-zero-waste-cooking-picada,https://i.guim.co.uk/img/media/0450d2db1ba7f5781fa7c2d0c5c861648f7021aa/0_836_1890_1134/master/1890.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=c0bf7c4b8b512fcbfc612a7054d61791,2022-09-10T05:00:05Z,"Picada is a traditional Catalan seasoning made by pounding together stale bread, garlic, parsley and nuts in a mortar. The crumble-like mixture is then added to stews or sauces near the end of the co… [+2254 chars]"
21,"{'id': None, 'name': 'The Guardian'}",Anna Berrill,Don’t say ‘sandwiches’: how to give your lunchbox a lift,"Think noodles, crunchy veg and pasta salad – and, when you make dinner, keep one eye on tomorrow’s lunch• Got a culinary dilemma? Email feast@theguardian.comWhat makes a good lunchbox?Emily, CroydonIn short: leftovers. We all want to avoid turning on the oven…",https://amp.theguardian.com/food/2022/sep/06/dont-say-sandwiches-how-to-give-your-lunchbox-a-lift,https://i.guim.co.uk/img/media/6890c4c4ab887abe0cc8319fd6baa6f7e789986f/0_325_8200_4919/master/8200.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=5a61b691c97949e8190f3c1fa1b323a6,2022-09-06T13:00:20Z,"What makes a good lunchbox?Emily, Croydon
In short: leftovers. We all want to avoid turning on the oven or stove too often to save both energy and time so make dinner with one eye on tomorrows lunch… [+2843 chars]"
22,"{'id': None, 'name': 'The Guardian'}",Tim Dowling,Tim Dowling: I’m sure I remember the way to the village. What could go wrong?,"We’re on holiday in Spain and it’s time for the familiar stroll to the shop to buy some provisions. OK, not that familiar, thenMy wife and I wake up on holiday in Spain. The other four people aren’t arriving until lunchtime, so we have the morning to ourselve…",https://amp.theguardian.com/lifeandstyle/2022/sep/03/tim-dowling-im-sure-i-remember-the-way-to-the-village-what-could-go-wrong,https://i.guim.co.uk/img/media/355a2ca719a37518d65d6c94ec05e1c5c9a3bcf4/0_0_2560_1536/master/2560.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=cba949d694f50e124218c88d5b318146,2022-09-03T05:00:10Z,"My wife and I wake up on holiday in Spain. The other four people arent arriving until lunchtime, so we have the morning to ourselves. The day promises to be hot, but it isnt yet. We decide to walk do… [+4483 chars]"
23,"{'id': None, 'name': 'The Guardian'}",Laura Barton,All back to mine: Harry’s House sets domestic tone for 2022 Mercury prize,Harry Styles’s high-end lockdown album is surprisingly of a piece with other longlisted albums by artists as distinct as Joy Crookes and GwennoIt was perhaps inevitable that so many records born of the last couple of years should possess a certain interiority…,https://amp.theguardian.com/music/2022/sep/07/harrys-house-2022-mercury-prize-harry-styles,https://i.guim.co.uk/img/media/e1dfe0c753c9665057d61e6a911d09fbb9110729/0_481_8064_4838/master/8064.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=451a6a89fe9f7291bcc2db3c23f30667,2022-09-07T11:33:08Z,"It was perhaps inevitable that so many records born of the last couple of years should possess a certain interiority. Tours halted, venues closed, the world on hiatus. Meanwhile Britain was in a peri… [+8246 chars]"
24,"{'id': None, 'name': 'The Guardian'}",Yotam Ottolenghi,Cajun seafood and paneer curry: Yotam Ottolenghi’s end-of-summer vegetable recipes,"Roast cauli with red pepper dressing and grape salsa, a Sri Lankan beetroot curry with coconut salsa, and a Cajun-style spiced seafood and corn stewI love this time of year. While summer vegetables such as tomatoes and peppers that grow on the vine are still …",https://amp.theguardian.com/food/2022/aug/27/cajun-seafood-paneer-curry-roast-cauliflower-yotam-ottolenghi-end-summer-vegetable-recipes,https://i.guim.co.uk/img/media/212d667741162cfc6c127aa7200188e68a76501c/0_913_3289_1973/master/3289.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=19fbeb79a080370d35f17f1b9b6c8140,2022-08-27T09:30:24Z,"I love this time of year. While summer vegetables such as tomatoes and peppers that grow on the vine are still at their sun-ripened sweetest, the likes of beetroot and potatoes, which grow undergroun… [+7695 chars]"
25,"{'id': None, 'name': 'The Guardian'}",Rachel Dixon,Fields of light: an arty Somerset glampsite with glowing gardens and a space pod,"Marston Park glampsite is a canvas for budding artists, offering tents with a ‘light garden’, easels, guitars, and live music setsThousands of tiny spheres of light are swaying in a midsummer night’s breeze. They resemble flowers: bright little bulbs on slend…",https://amp.theguardian.com/travel/2022/aug/19/art-glamping-camping-holidays-somerset-britain-marston-park,https://i.guim.co.uk/img/media/aa587c661b5bbb19507076ca127107dd265bc640/0_0_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=75c3b48aebd45ef2080a6d4bc15155fe,2022-08-19T10:00:12Z,"Thousands of tiny spheres of light are swaying in a midsummer nights breeze. They resemble flowers: bright little bulbs on slender stems. Some change colour in waves, from soft pink to rich purple to… [+7180 chars]"
26,"{'id': None, 'name': 'The Guardian'}",Itamar Srulovich and Sarit Packer,"Flatbread, fried courgettes, and a feta dip: Honey & Co’s Greek meze recipes","A trio of make-ahead starters: warm flatbreads, a sharp and tangy pepper dip, and crisp courgettes with a drizzle of honey and a hit of chilliWe are always on the hunt for sharing food, and we especially love a selection of Greek meze to graze with drinks and…",https://amp.theguardian.com/food/2022/aug/13/flatbread-fried-courgettes-feta-dip-honey-and-co-greek-meze-spread-recipes,https://i.guim.co.uk/img/media/c2d08f0df1715875fb14f833b4377b08c80beaa4/0_736_4608_2763/master/4608.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=5b8ca87b21c699c232a635f7ee49e2b3,2022-08-13T12:00:39Z,"We are always on the hunt for sharing food, and we especially love a selection of Greek meze to graze with drinks and excellent conversation. These three recipes together make a perfect start to the … [+4985 chars]"
27,"{'id': None, 'name': 'The Guardian'}",Scott Murray,The Fiver | West Ham and the cost of needlessly fizzy premium-brand lager,"Sign up now! Sign up now! Sign up now? Sign up now!Phew, what a scorcher, eh readers? Yay. But in this sort of frankly unpatriotic heat, it’s important that we pall-conditioned Brits remember to take steps to stay cool. That means going to work dressed sensib…",https://amp.theguardian.com/football/2022/aug/12/the-fiver-west-ham-drinks-prices,https://i.guim.co.uk/img/media/45acf79682091f3188e2bc864104be5b2eb526e4/0_300_4495_2697/master/4495.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=4b2fdcdab4bdec89d15be4f201630968,2022-08-12T14:56:14Z,"ITS FRIDAY! TIME FOR A DRINK, THEN
Phew, what a scorcher, eh readers? Yay. But in this sort of frankly unpatriotic heat, its important that we pall-conditioned Brits remember to take steps to stay c… [+7038 chars]"
28,"{'id': None, 'name': 'The Guardian'}",Poppy Noor.,Is it bourgeois to like ‘good food?’ I went looking for answers,"I grew up working class and often ask myself: does what we eat define us? In West Virginia, a supper club is asking the same questionAmy Dawson grew up ashamed of the family ham.It was pink and huge – close to 40lb – and sat on the kitchen counter, wrapped in…",https://amp.theguardian.com/lifeandstyle/2022/sep/09/good-food-west-virginia-supper-club,https://i.guim.co.uk/img/media/0f436b86dce5a221a32539feba4a53d1056c8e23/0_267_4000_2400/master/4000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=4b85ac61728741b5cfb705fc4b9d2013,2022-09-09T06:00:26Z,"Amy Dawson grew up ashamed of the family ham.
It was pink and huge close to 40lb and sat on the kitchen counter, wrapped in newspaper throughout the winter. The ham had a hardened outside layer of d… [+19422 chars]"
